age,gender,height_cm,weight_kg,bmi,fitness_level,goal,exercise,duration_min,intensity,sets,reps,heart_rate_avg,training_volume,effort_score,metabolic_proxy,hr_reserve_ratio,calories_burned,meal_plan
28,Female,170.4,77.5,26.69,Beginner,Muscle Gain,Dips,35,Low,4,7,132,28,140,2.672,0.688,219.4,mg_beginner
49,Female,170.2,97.1,33.52,Intermediate,Fat Loss,Squats,34,High,4,20,149,80,136,1.942,0.871,525.9,fl_intermediate
52,Male,178.9,75.1,23.46,Advanced,Fat Loss,Plank,67,High,3,16,146,48,201,1.417,0.869,507.3,fl_advanced
48,Male,171.4,91.7,31.21,Advanced,Maintenance,Handstand,53,High,4,14,149,56,212,1.871,0.866,878.2,mt_standard
39,Male,175.9,104.4,33.74,Intermediate,Fat Loss,Pull-ups,31,Medium,4,14,140,56,124,2.61,0.773,392.7,fl_intermediate
24,Female,171.7,86.8,29.44,Advanced,Muscle Gain,Muscle-ups,58,Medium,4,8,147,32,232,3.472,0.75,1130.7,mg_advanced
33,Female,167.2,40.0,14.31,Intermediate,Maintenance,Push-ups,36,Low,2,13,126,26,72,1.176,0.674,137.6,mt_standard
31,Female,162.2,54.0,20.53,Beginner,Fat Loss,Squats,39,Medium,3,20,148,60,117,1.688,0.783,227.7,fl_beginner
45,Male,174.7,94.1,30.83,Intermediate,Muscle Gain,Pull-ups,41,Medium,3,8,136,24,123,2.046,0.777,528.7,mg_intermediate
42,Male,165.8,80.7,29.36,Intermediate,Maintenance,Pull-ups,36,Medium,3,9,138,27,108,1.877,0.775,422.0,mt_standard
29,Male,178.4,43.0,13.51,Intermediate,Fat Loss,Squats,32,Medium,4,15,146,60,128,1.433,0.764,174.3,fl_intermediate
33,Male,173.5,86.1,28.6,Intermediate,Fat Loss,Pull-ups,38,Low,5,19,126,95,190,2.532,0.674,300.7,fl_intermediate
17,Male,174.4,107.1,35.21,Beginner,Muscle Gain,Push-ups,40,Low,3,11,137,33,120,5.95,0.675,309.2,mg_beginner
33,Male,172.2,104.2,35.14,Beginner,Fat Loss,Plank,36,Low,5,15,129,75,180,3.065,0.69,162.4,fl_beginner
21,Male,186.0,87.2,25.21,Advanced,Fat Loss,Plank,69,Medium,4,12,149,48,276,3.964,0.749,513.2,fl_advanced
39,Male,168.1,101.3,35.85,Advanced,Muscle Gain,Muscle-ups,64,Low,5,12,119,60,320,2.532,0.657,917.1,mg_advanced
48,Female,153.1,104.2,44.45,Beginner,Muscle Gain,Dips,32,Medium,5,11,137,55,160,2.127,0.797,413.5,mg_beginner
27,Male,181.4,85.6,26.01,Beginner,Maintenance,Push-ups,25,Low,4,15,132,60,100,3.057,0.684,152.2,mt_standard
24,Male,175.4,106.1,34.49,Beginner,Fat Loss,Squats,30,Low,5,14,134,70,150,4.244,0.684,225.7,fl_beginner
32,Male,190.0,112.0,31.02,Beginner,Fat Loss,Push-ups,20,Medium,4,17,147,68,80,3.394,0.782,230.9,fl_beginner
28,Female,158.4,48.4,19.29,Intermediate,Maintenance,Push-ups,25,Low,4,11,128,44,100,1.669,0.667,127.7,mt_standard
55,Male,173.1,76.6,25.56,Intermediate,Maintenance,Pull-ups,30,Low,2,10,115,20,60,1.368,0.697,251.8,mt_standard
38,Male,180.1,120.1,37.03,Intermediate,Muscle Gain,Pull-ups,40,Low,4,12,123,48,160,3.079,0.676,445.2,mg_intermediate
56,Male,186.4,113.2,32.58,Intermediate,Fat Loss,Pull-ups,51,Medium,5,17,129,85,255,1.986,0.787,745.9,fl_intermediate
31,Female,162.9,76.1,28.68,Beginner,Fat Loss,Push-ups,24,Low,4,19,130,76,96,2.378,0.688,138.5,fl_beginner
37,Female,162.9,126.7,47.75,Advanced,Muscle Gain,Handstand,74,Medium,5,8,139,40,370,3.334,0.76,1103.0,mg_advanced
25,Male,172.7,74.9,25.11,Advanced,Muscle Gain,Muscle-ups,73,Medium,4,6,147,24,292,2.881,0.754,1083.5,mg_advanced
33,Male,176.2,92.5,29.79,Intermediate,Muscle Gain,Dips,36,Low,4,12,126,48,144,2.721,0.674,335.1,mg_intermediate
51,Female,164.5,95.2,35.18,Beginner,Fat Loss,Squats,29,Low,5,19,120,95,145,1.831,0.71,240.1,fl_beginner
32,Female,159.8,68.4,26.79,Beginner,Muscle Gain,Push-ups,32,Low,5,8,130,40,160,2.073,0.691,191.3,mg_beginner
33,Female,161.0,85.1,32.83,Beginner,Maintenance,Plank,25,High,4,12,164,48,100,2.503,0.877,148.0,mt_standard
17,Male,183.2,71.8,21.39,Intermediate,Fat Loss,Pull-ups,54,Low,4,16,134,64,216,3.989,0.66,332.3,fl_intermediate
46,Male,180.2,90.7,27.93,Intermediate,Fat Loss,Squats,51,High,3,13,152,39,153,1.93,0.874,732.1,fl_intermediate
23,Female,154.6,63.3,26.48,Intermediate,Muscle Gain,Dips,38,Medium,3,10,150,30,114,2.637,0.761,319.1,mg_intermediate
23,Male,164.5,118.5,43.79,Intermediate,Fat Loss,Squats,43,High,4,19,170,76,172,4.938,0.863,926.9,fl_intermediate
18,Male,176.5,83.0,26.64,Beginner,Maintenance,Squats,33,Medium,3,15,156,45,99,4.368,0.772,281.0,mt_standard
47,Male,169.4,71.7,24.99,Intermediate,Muscle Gain,Pull-ups,51,High,3,10,151,30,153,1.494,0.873,621.7,mg_intermediate
49,Female,170.9,80.4,27.53,Intermediate,Muscle Gain,Pull-ups,41,Low,4,9,118,36,164,1.608,0.69,307.0,mg_intermediate
39,Male,175.8,97.9,31.68,Beginner,Maintenance,Push-ups,25,Medium,2,13,142,26,50,2.448,0.785,292.6,mt_standard
35,Female,160.6,74.8,29.0,Beginner,Maintenance,Plank,22,Medium,3,15,145,45,66,2.078,0.784,87.1,mt_standard
28,Female,168.9,67.2,23.56,Beginner,Fat Loss,Push-ups,24,Low,5,20,132,100,120,2.317,0.688,117.7,fl_beginner
33,Female,157.0,46.7,18.95,Beginner,Muscle Gain,Dips,27,Medium,4,12,146,48,108,1.374,0.781,135.9,mg_beginner
16,Female,169.1,62.7,21.93,Beginner,Fat Loss,Push-ups,29,High,3,13,177,39,87,3.688,0.868,251.7,fl_beginner
25,Female,167.4,75.7,27.01,Advanced,Muscle Gain,Muscle-ups,78,High,3,8,167,24,234,2.912,0.856,1356.3,mg_advanced
26,Male,179.1,100.2,31.24,Intermediate,Fat Loss,Squats,50,High,3,15,168,45,150,3.711,0.866,900.1,fl_intermediate
20,Male,194.4,131.9,34.9,Beginner,Muscle Gain,Dips,34,Medium,4,7,155,28,136,6.281,0.775,456.6,mg_beginner
24,Female,159.5,54.0,21.23,Beginner,Fat Loss,Plank,21,Medium,5,17,152,85,105,2.16,0.776,72.5,fl_beginner
33,Male,167.4,80.1,28.58,Beginner,Muscle Gain,Push-ups,44,High,5,11,164,55,220,2.356,0.877,471.1,mg_beginner
29,Female,166.9,83.4,29.94,Intermediate,Muscle Gain,Squats,54,Medium,4,8,146,32,216,2.78,0.764,653.8,mg_intermediate
41,Female,161.8,73.1,27.92,Beginner,Fat Loss,Push-ups,20,Medium,4,16,141,64,80,1.74,0.788,182.0,fl_beginner
32,Female,167.9,87.9,31.18,Beginner,Muscle Gain,Squats,41,Medium,5,11,147,55,205,2.664,0.782,379.0,mg_beginner
32,Male,167.9,75.3,26.71,Intermediate,Maintenance,Push-ups,26,Medium,2,10,144,20,52,2.282,0.766,243.1,mt_standard
21,Male,181.0,90.5,27.62,Intermediate,Muscle Gain,Dips,42,Low,4,8,132,32,168,4.114,0.663,312.8,mg_intermediate
32,Male,164.4,133.5,49.39,Beginner,Muscle Gain,Push-ups,33,Medium,3,11,147,33,99,4.045,0.782,483.1,mg_beginner
46,Female,155.3,87.3,36.2,Intermediate,Muscle Gain,Squats,47,Medium,4,7,135,28,188,1.857,0.776,576.1,mg_intermediate
35,Male,164.8,65.3,24.04,Intermediate,Maintenance,Squats,44,Low,2,14,125,28,88,1.814,0.676,251.9,mt_standard
26,Female,148.0,82.1,37.48,Advanced,Muscle Gain,Muscle-ups,51,Medium,4,12,146,48,204,3.041,0.753,928.4,mg_advanced
26,Male,182.8,89.8,26.87,Beginner,Maintenance,Squats,31,High,3,10,169,30,93,3.326,0.871,367.4,mt_standard
39,Female,174.2,96.7,31.87,Intermediate,Muscle Gain,Pull-ups,42,High,4,7,157,28,168,2.417,0.867,743.5,mg_intermediate
41,Male,171.1,99.6,34.02,Beginner,Muscle Gain,Push-ups,30,Medium,4,10,141,40,120,2.371,0.788,317.8,mg_beginner
25,Male,171.1,99.9,34.12,Beginner,Muscle Gain,Push-ups,41,Low,5,6,133,30,205,3.842,0.682,326.6,mg_beginner
46,Female,172.3,91.3,30.75,Beginner,Maintenance,Push-ups,20,Medium,2,11,138,22,40,1.943,0.793,206.6,mt_standard
36,Female,164.9,50.8,18.68,Beginner,Maintenance,Squats,24,Medium,3,15,144,45,72,1.373,0.783,140.5,mt_standard
25,Female,169.0,93.2,32.63,Intermediate,Muscle Gain,Pull-ups,57,Low,3,12,130,36,171,3.585,0.667,466.6,mg_intermediate
28,Female,177.9,41.2,13.02,Advanced,Fat Loss,L-sit,53,High,5,19,165,95,265,1.421,0.859,330.7,fl_advanced
33,Female,173.1,102.7,34.27,Beginner,Fat Loss,Push-ups,29,Low,3,20,129,60,87,3.021,0.69,198.7,fl_beginner
28,Male,170.6,98.1,33.71,Beginner,Maintenance,Push-ups,28,High,4,9,168,36,112,3.383,0.875,378.2,mt_standard
22,Male,174.9,92.9,30.37,Advanced,Fat Loss,L-sit,46,Medium,4,12,149,48,184,4.039,0.753,392.3,fl_advanced
48,Female,156.7,102.8,41.87,Beginner,Muscle Gain,Push-ups,43,Medium,4,7,137,28,172,2.098,0.797,478.2,mg_beginner
53,Female,158.8,84.4,33.47,Intermediate,Muscle Gain,Dips,52,High,4,7,146,28,208,1.563,0.874,816.9,mg_intermediate
33,Female,159.5,46.1,18.12,Advanced,Muscle Gain,Muscle-ups,46,Medium,4,11,141,44,184,1.356,0.754,456.9,mg_advanced
32,Female,164.3,69.7,25.82,Intermediate,Fat Loss,Squats,38,Low,5,12,126,60,190,2.112,0.67,204.6,fl_intermediate
34,Female,155.6,41.6,17.18,Advanced,Muscle Gain,Muscle-ups,47,Medium,5,10,141,50,235,1.189,0.758,417.0,mg_advanced
19,Female,154.6,108.2,45.27,Intermediate,Fat Loss,Push-ups,50,Medium,5,12,153,60,250,5.41,0.761,772.2,fl_intermediate
59,Female,148.6,91.7,41.53,Beginner,Muscle Gain,Squats,27,Low,3,10,116,30,81,1.528,0.72,188.9,mg_beginner
38,Male,178.6,103.8,32.54,Intermediate,Fat Loss,Pull-ups,46,Low,5,18,123,90,230,2.662,0.676,504.3,fl_intermediate
27,Female,158.5,63.6,25.32,Beginner,Muscle Gain,Squats,40,High,4,7,168,28,160,2.271,0.87,365.5,mg_beginner
23,Female,169.2,65.0,22.7,Beginner,Maintenance,Squats,25,Low,3,9,134,27,75,2.708,0.68,116.6,mt_standard
37,Female,164.9,56.5,20.78,Beginner,Muscle Gain,Push-ups,39,Medium,5,7,144,35,195,1.487,0.787,205.5,mg_beginner
20,Male,177.1,59.6,19.0,Intermediate,Fat Loss,Pull-ups,37,Medium,3,12,152,36,111,2.838,0.76,271.6,fl_intermediate
22,Female,155.9,62.3,25.63,Intermediate,Fat Loss,Pull-ups,50,Medium,3,17,151,51,150,2.709,0.763,393.4,fl_intermediate
18,Male,177.4,95.2,30.25,Intermediate,Muscle Gain,Dips,38,High,4,9,174,36,152,5.011,0.861,657.4,mg_intermediate
35,Female,171.2,88.4,30.16,Beginner,Muscle Gain,Push-ups,29,Medium,3,12,145,36,87,2.456,0.784,313.4,mg_beginner
40,Female,162.1,78.5,29.87,Intermediate,Muscle Gain,Squats,58,Medium,5,6,139,30,290,1.915,0.772,567.4,mg_intermediate
23,Female,156.3,40.0,16.37,Advanced,Muscle Gain,Handstand,51,Medium,4,11,148,44,204,1.667,0.751,202.3,mg_advanced
24,Female,165.9,81.1,29.47,Intermediate,Muscle Gain,Squats,57,Medium,3,6,150,18,171,3.244,0.765,575.5,mg_intermediate
23,Male,177.8,115.6,36.57,Advanced,Fat Loss,Pull-ups,56,Low,5,15,127,75,280,4.817,0.645,731.0,fl_advanced
30,Female,160.4,67.8,26.35,Beginner,Fat Loss,Plank,31,Low,4,19,131,76,124,2.187,0.689,88.3,fl_beginner
48,Female,165.3,40.0,14.64,Beginner,Maintenance,Push-ups,24,Low,3,10,122,30,72,0.816,0.709,64.8,mt_standard
38,Male,183.8,57.1,16.9,Beginner,Fat Loss,Push-ups,23,Low,4,14,127,56,92,1.464,0.698,106.2,fl_beginner
18,Female,154.8,117.6,49.08,Intermediate,Muscle Gain,Dips,51,Medium,5,7,154,35,255,6.189,0.762,827.5,mg_intermediate
24,Female,162.4,61.3,23.24,Beginner,Muscle Gain,Push-ups,26,Low,5,8,134,40,130,2.452,0.684,113.4,mg_beginner
24,Male,170.6,99.8,34.29,Intermediate,Muscle Gain,Pull-ups,55,Low,3,6,130,18,165,3.992,0.663,423.2,mg_intermediate
34,Male,177.0,60.0,19.15,Intermediate,Maintenance,Push-ups,35,Medium,3,9,143,27,105,1.714,0.769,283.8,mt_standard
26,Female,150.8,63.9,28.1,Intermediate,Muscle Gain,Pull-ups,55,Low,4,7,129,28,220,2.367,0.665,327.6,mg_intermediate
39,Male,182.3,88.7,26.69,Advanced,Muscle Gain,Handstand,50,High,5,12,156,60,250,2.218,0.862,811.6,mg_advanced
45,Male,181.0,68.7,20.97,Beginner,Maintenance,Squats,21,Medium,4,10,138,40,84,1.493,0.789,174.2,mt_standard
22,Male,179.4,87.9,27.31,Advanced,Fat Loss,Pull-ups,48,High,5,12,170,60,240,3.822,0.859,874.0,fl_advanced
40,Female,156.7,70.7,28.79,Beginner,Muscle Gain,Push-ups,41,Medium,5,7,142,35,205,1.724,0.789,328.2,mg_beginner
43,Female,156.1,81.2,33.32,Intermediate,Fat Loss,Push-ups,41,Low,4,15,121,60,164,1.845,0.684,316.3,fl_intermediate
22,Male,180.9,125.1,38.23,Advanced,Fat Loss,Pull-ups,55,High,3,17,170,51,165,5.439,0.859,1557.4,fl_advanced
36,Female,154.8,91.6,38.23,Beginner,Fat Loss,Squats,32,Medium,3,17,144,51,96,2.476,0.783,292.0,fl_beginner
38,Female,170.0,82.4,28.51,Beginner,Fat Loss,Push-ups,36,Low,5,15,127,75,180,2.113,0.698,250.1,fl_beginner
28,Male,169.8,62.8,21.78,Beginner,Fat Loss,Squats,30,High,3,12,168,36,90,2.166,0.875,239.4,fl_beginner
26,Male,179.7,107.5,33.29,Beginner,Fat Loss,Push-ups,22,Medium,4,13,151,52,88,3.981,0.778,258.5,fl_beginner
23,Female,176.5,85.4,27.41,Intermediate,Muscle Gain,Pull-ups,52,High,5,12,170,60,260,3.558,0.863,916.8,mg_intermediate
35,Female,153.4,88.0,37.4,Beginner,Muscle Gain,Push-ups,36,Low,5,12,128,60,180,2.444,0.692,241.1,mg_beginner
34,Female,160.6,82.0,31.79,Intermediate,Fat Loss,Push-ups,32,High,5,13,161,65,160,2.343,0.866,450.0,fl_intermediate
51,Female,160.5,59.3,23.02,Beginner,Fat Loss,Squats,31,Medium,4,20,135,80,124,1.14,0.799,199.3,fl_beginner
42,Male,164.2,85.7,31.79,Intermediate,Maintenance,Pull-ups,34,Medium,2,10,138,20,68,1.993,0.775,361.7,mt_standard
49,Male,168.9,94.8,33.23,Advanced,Muscle Gain,Handstand,69,Medium,3,6,131,18,207,1.896,0.766,815.0,mg_advanced
46,Male,181.9,116.3,35.15,Beginner,Maintenance,Squats,29,High,2,15,153,30,58,2.474,0.879,508.4,mt_standard
16,Male,177.1,87.0,27.74,Beginner,Muscle Gain,Squats,30,Medium,4,8,157,32,120,5.118,0.77,249.1,mg_beginner
22,Female,163.0,62.3,23.45,Beginner,Muscle Gain,Dips,35,Low,5,8,135,40,175,2.709,0.682,158.6,mg_beginner
57,Female,163.0,78.3,29.47,Beginner,Muscle Gain,Squats,38,Medium,3,9,131,27,114,1.35,0.804,312.7,mg_beginner
53,Male,177.0,116.9,37.31,Intermediate,Fat Loss,Squats,35,High,3,14,146,42,105,2.165,0.874,727.1,fl_intermediate
41,Male,177.6,132.7,42.07,Intermediate,Maintenance,Pull-ups,33,Medium,3,13,139,39,99,3.16,0.777,504.5,mt_standard
24,Male,185.1,113.8,33.21,Beginner,Maintenance,Squats,21,Low,4,13,134,52,84,4.552,0.684,183.1,mt_standard
16,Male,181.3,108.5,33.01,Advanced,Fat Loss,L-sit,51,Medium,3,19,152,57,153,6.382,0.745,654.2,fl_advanced
27,Male,180.5,91.6,28.12,Intermediate,Maintenance,Push-ups,31,Medium,2,13,148,26,62,3.271,0.767,430.2,mt_standard
26,Male,179.4,88.3,27.44,Advanced,Muscle Gain,Handstand,78,High,5,11,166,55,390,3.27,0.856,992.1,mg_advanced
35,Female,164.5,77.0,28.46,Beginner,Maintenance,Push-ups,27,Low,4,9,128,36,108,2.139,0.692,132.5,mt_standard
49,Male,183.2,84.0,25.03,Intermediate,Fat Loss,Push-ups,44,Medium,3,12,133,36,132,1.68,0.778,494.4,fl_intermediate
35,Male,183.3,121.0,36.01,Advanced,Muscle Gain,Muscle-ups,73,High,3,6,159,18,219,3.361,0.859,2626.9,mg_advanced
35,Female,162.5,66.6,25.22,Beginner,Muscle Gain,Push-ups,39,Medium,5,11,145,55,195,1.85,0.784,203.8,mg_beginner
18,Female,163.9,61.7,22.97,Intermediate,Muscle Gain,Pull-ups,54,Medium,5,11,154,55,270,3.247,0.762,420.2,mg_intermediate
59,Female,162.2,102.1,38.81,Beginner,Maintenance,Plank,28,High,2,12,143,24,56,1.702,0.888,231.2,mt_standard
24,Female,169.1,82.3,28.78,Advanced,Muscle Gain,Handstand,79,High,3,8,168,24,237,3.292,0.857,981.9,mg_advanced
25,Female,169.3,61.2,21.35,Advanced,Maintenance,Handstand,30,Medium,3,9,147,27,90,2.354,0.754,224.2,mt_standard
36,Male,174.1,58.5,19.3,Intermediate,Fat Loss,Push-ups,41,High,5,12,160,60,205,1.581,0.87,404.3,fl_intermediate
49,Female,159.7,83.6,32.78,Beginner,Muscle Gain,Push-ups,42,Medium,3,10,136,30,126,1.672,0.795,352.1,mg_beginner
39,Female,162.2,89.9,34.17,Beginner,Fat Loss,Squats,30,Medium,4,15,142,60,120,2.248,0.785,294.1,fl_beginner
32,Male,171.2,73.1,24.94,Beginner,Fat Loss,Push-ups,23,Low,4,13,130,52,92,2.215,0.691,135.2,fl_beginner
47,Female,167.5,61.7,21.99,Beginner,Fat Loss,Squats,36,Low,4,16,122,64,144,1.285,0.705,167.8,fl_beginner
34,Male,181.3,82.4,25.07,Advanced,Fat Loss,Pull-ups,48,Medium,5,14,141,70,240,2.354,0.758,614.9,fl_advanced
21,Male,180.9,83.1,25.39,Intermediate,Fat Loss,Pull-ups,32,Medium,5,12,152,60,160,3.777,0.764,376.5,fl_intermediate
42,Male,174.4,111.3,36.59,Advanced,Fat Loss,L-sit,49,Medium,5,16,136,80,245,2.588,0.764,618.2,fl_advanced
36,Female,158.0,105.9,42.42,Intermediate,Fat Loss,Squats,32,High,3,14,160,42,96,2.862,0.87,571.5,fl_intermediate
34,Male,185.5,92.0,26.74,Intermediate,Muscle Gain,Pull-ups,52,High,5,9,161,45,260,2.629,0.866,894.8,mg_intermediate
36,Male,186.8,119.3,34.19,Beginner,Fat Loss,Plank,23,Medium,5,16,144,80,115,3.224,0.783,154.3,fl_beginner
30,Male,168.3,107.1,37.81,Intermediate,Fat Loss,Pull-ups,44,High,3,20,165,60,132,3.455,0.868,930.0,fl_intermediate
44,Female,155.6,75.2,31.06,Intermediate,Maintenance,Pull-ups,35,Medium,2,10,137,20,70,1.671,0.778,370.1,mt_standard
21,Male,183.2,71.8,21.39,Beginner,Fat Loss,Squats,39,Medium,3,14,154,42,117,3.264,0.774,302.0,fl_beginner
34,Male,172.7,85.5,28.67,Beginner,Maintenance,Plank,25,Low,2,8,129,16,50,2.443,0.694,91.4,mt_standard
33,Female,156.1,101.2,41.53,Intermediate,Muscle Gain,Dips,51,High,3,6,162,18,153,2.976,0.866,858.4,mg_intermediate
16,Female,166.9,59.8,21.47,Beginner,Maintenance,Squats,21,Low,3,11,138,33,63,3.518,0.676,78.9,mt_standard
35,Male,169.4,89.0,31.01,Intermediate,Maintenance,Pull-ups,26,High,3,12,161,36,78,2.472,0.87,333.9,mt_standard
24,Female,162.3,66.9,25.4,Advanced,Fat Loss,Pull-ups,51,High,3,20,168,60,153,2.676,0.857,668.1,fl_advanced
38,Female,165.7,93.6,34.09,Intermediate,Fat Loss,Pull-ups,45,Medium,5,15,141,75,225,2.4,0.775,584.6,fl_intermediate
26,Male,166.3,100.3,36.27,Advanced,Maintenance,Pull-ups,46,Medium,4,14,146,56,184,3.715,0.753,660.4,mt_standard
19,Female,159.0,87.8,34.73,Beginner,Muscle Gain,Squats,38,Medium,5,10,155,50,190,4.39,0.771,360.1,mg_beginner
36,Female,161.4,66.0,25.34,Beginner,Fat Loss,Squats,30,Low,5,19,128,95,150,1.784,0.696,138.8,fl_beginner
46,Male,173.4,40.0,13.3,Intermediate,Maintenance,Squats,28,Low,2,13,119,26,56,0.851,0.684,88.8,mt_standard
27,Female,169.8,73.9,25.63,Beginner,Fat Loss,Push-ups,37,Medium,3,18,150,54,111,2.639,0.777,334.1,fl_beginner
22,Male,176.3,118.9,38.25,Intermediate,Fat Loss,Pull-ups,40,Medium,4,19,151,76,160,5.17,0.763,557.1,fl_intermediate
26,Female,156.1,49.4,20.27,Intermediate,Muscle Gain,Dips,43,Low,5,8,129,40,215,1.83,0.665,226.4,mg_intermediate
31,Male,186.5,108.0,31.05,Advanced,Fat Loss,Squats,47,Medium,3,15,143,45,141,3.375,0.757,769.2,fl_advanced
22,Female,160.3,64.5,25.1,Beginner,Fat Loss,Squats,32,High,5,15,172,75,160,2.804,0.869,328.7,fl_beginner
55,Male,179.4,95.6,29.7,Intermediate,Maintenance,Push-ups,43,Medium,4,12,130,48,172,1.707,0.788,624.2,mt_standard
27,Female,155.4,87.7,36.32,Intermediate,Fat Loss,Pull-ups,40,High,4,19,167,76,160,3.132,0.865,597.2,fl_intermediate
20,Female,165.7,88.9,32.38,Beginner,Muscle Gain,Push-ups,39,Low,4,12,136,48,156,4.233,0.68,292.1,mg_beginner
39,Female,165.6,100.9,36.79,Beginner,Muscle Gain,Dips,44,Low,4,11,126,44,176,2.522,0.696,329.7,mg_beginner
38,Female,157.1,129.9,52.63,Advanced,Fat Loss,Plank,57,Medium,3,18,138,54,171,3.331,0.758,507.8,fl_advanced
29,Male,154.4,67.7,28.4,Advanced,Fat Loss,L-sit,53,Medium,4,15,144,60,212,2.257,0.754,427.5,fl_advanced
27,Male,174.8,73.1,23.92,Beginner,Fat Loss,Squats,27,Low,5,18,132,90,135,2.611,0.684,141.1,fl_beginner
35,Female,166.8,88.1,31.67,Advanced,Fat Loss,Plank,68,Low,3,15,121,45,204,2.447,0.654,344.2,fl_advanced
27,Male,154.1,76.5,32.21,Beginner,Muscle Gain,Dips,33,Low,5,12,132,60,165,2.732,0.684,206.9,mg_beginner
26,Male,200.1,92.5,23.1,Intermediate,Muscle Gain,Pull-ups,44,Medium,4,11,148,44,176,3.426,0.763,518.8,mg_intermediate
23,Female,164.9,42.0,15.45,Advanced,Muscle Gain,Muscle-ups,63,Medium,4,12,148,48,252,1.75,0.751,556.8,mg_advanced
29,Male,183.6,87.1,25.84,Beginner,Fat Loss,Squats,31,Low,5,18,131,90,155,2.903,0.686,203.8,fl_beginner
19,Female,148.1,81.2,37.02,Beginner,Fat Loss,Push-ups,38,Medium,3,18,155,54,114,4.06,0.771,400.0,fl_beginner
28,Female,165.3,49.2,18.01,Intermediate,Muscle Gain,Squats,58,Medium,4,6,147,24,232,1.697,0.766,374.6,mg_intermediate
22,Male,179.6,70.0,21.7,Intermediate,Maintenance,Push-ups,31,Medium,4,8,151,32,124,3.043,0.763,291.9,mt_standard
28,Male,186.4,124.8,35.92,Intermediate,Muscle Gain,Plank,53,Medium,4,6,147,24,212,4.303,0.766,365.1,mg_intermediate
25,Male,170.1,89.7,31.0,Beginner,Muscle Gain,Plank,40,Medium,5,6,151,30,200,3.45,0.774,205.2,mg_beginner
36,Female,163.4,42.3,15.84,Intermediate,Muscle Gain,Pull-ups,51,Low,5,9,124,45,255,1.143,0.674,232.2,mg_intermediate
38,Female,156.4,118.3,48.36,Beginner,Muscle Gain,Dips,28,Medium,4,6,143,24,112,3.033,0.786,300.8,mg_beginner
36,Male,173.7,96.6,32.02,Intermediate,Fat Loss,Squats,50,Medium,5,12,142,60,250,2.611,0.772,648.1,fl_intermediate
57,Female,158.3,83.7,33.4,Beginner,Fat Loss,Push-ups,26,Low,5,13,117,65,130,1.443,0.718,150.9,fl_beginner
22,Female,148.0,97.3,44.42,Intermediate,Maintenance,Push-ups,31,Medium,2,15,151,30,62,4.23,0.763,365.3,mt_standard
33,Male,178.1,108.0,34.05,Advanced,Muscle Gain,Handstand,71,Medium,4,6,141,24,284,3.176,0.754,840.3,mg_advanced
24,Male,172.6,131.4,44.11,Intermediate,Muscle Gain,Squats,39,High,3,8,169,24,117,5.256,0.862,892.2,mg_intermediate
46,Male,185.0,94.5,27.61,Intermediate,Muscle Gain,Dips,49,Medium,3,12,135,36,147,2.011,0.776,716.7,mg_intermediate
44,Female,148.0,103.0,47.02,Advanced,Maintenance,Muscle-ups,49,Medium,3,13,134,39,147,2.289,0.761,1036.4,mt_standard
36,Male,178.5,72.9,22.88,Beginner,Muscle Gain,Push-ups,40,Low,4,11,128,44,160,1.97,0.696,200.5,mg_beginner
17,Female,169.9,69.6,24.11,Beginner,Maintenance,Squats,22,Low,4,15,137,60,88,3.867,0.675,115.8,mt_standard
25,Male,178.9,102.4,31.99,Intermediate,Fat Loss,Pull-ups,51,Low,4,15,130,60,204,3.938,0.667,477.6,fl_intermediate
36,Male,182.9,69.2,20.69,Advanced,Fat Loss,L-sit,47,Medium,4,20,139,80,188,1.87,0.755,397.0,fl_advanced
39,Male,180.2,91.4,28.15,Advanced,Fat Loss,Pull-ups,54,Medium,4,14,137,56,216,2.285,0.757,755.2,fl_advanced
36,Male,176.9,66.1,21.12,Beginner,Muscle Gain,Dips,28,Medium,4,10,144,40,112,1.786,0.783,180.7,mg_beginner
16,Male,175.6,74.4,24.13,Beginner,Fat Loss,Push-ups,25,Low,5,17,138,85,125,4.376,0.676,148.4,fl_beginner
19,Male,175.4,86.2,28.02,Beginner,Muscle Gain,Plank,44,Medium,5,6,155,30,220,4.31,0.771,215.8,mg_beginner
32,Female,156.4,116.1,47.46,Intermediate,Fat Loss,Push-ups,51,High,3,18,163,54,153,3.518,0.867,1105.9,fl_intermediate
34,Male,173.5,77.5,25.75,Beginner,Fat Loss,Plank,21,High,5,18,163,90,105,2.214,0.876,118.4,fl_beginner
33,Male,174.0,106.8,35.28,Beginner,Muscle Gain,Push-ups,43,Low,5,10,129,50,215,3.141,0.69,329.7,mg_beginner
54,Female,165.9,96.2,34.95,Beginner,Fat Loss,Push-ups,22,High,4,20,147,80,88,1.749,0.886,314.4,fl_beginner
36,Male,168.8,101.1,35.48,Intermediate,Fat Loss,Pull-ups,48,High,5,20,160,100,240,2.732,0.87,849.3,fl_intermediate
34,Male,172.2,77.5,26.14,Intermediate,Muscle Gain,Pull-ups,41,Medium,5,12,143,60,205,2.214,0.769,508.3,mg_intermediate
42,Male,174.0,89.4,29.53,Intermediate,Muscle Gain,Pull-ups,55,Medium,4,8,138,32,220,2.079,0.775,683.6,mg_intermediate
42,Female,159.5,78.7,30.94,Intermediate,Maintenance,Pull-ups,36,Medium,4,11,138,44,144,1.83,0.775,334.9,mt_standard
